BuildingID,NoStories,FlArea,NoUnits,ConstYear,BuildVal,PermitDesc,PermitType,DateEvent,DateApplied,CheckDate,DateRecvd,DateFinaled,DateExpired,TimetoApply,RepairTime,TimetoFinal,,
905,0,874,1,1932,615397,NULL,NULL,8/24/14,39947,FALSE,39767,1/13/16,NULL,12,495,507,,
913,0,1106,1,1954,480508,REPLACE BROKEN RAFTER ATTIC/FOUNDATION CRACKS/REPLACE ROOF,MINOR BUILDING,8/24/14,39947,FALSE,37057,3/13/15,NULL,12,189,201,,
925,0,1204,1,1978,300226,CARPORT REPAIR UNITS 718/720/723/725),GARAGE CARPORT,8/24/14,9/23/14,TRUE,37240,1/26/15,NULL,30,125,155,,
926,0,1306.8,NULL,NULL,164721,CARPORT REPAIR UNITS 718/720/723/725),NULL,8/24/14,9/24/14,TRUE,37240,1/26/15,NULL,31,124,155,,
928,0,2128,1,1980,350681,REMOVE AND REPLACE CHIMNEY,FIREPLACE,8/24/14,39947,FALSE,1/20/15,4/28/15,NULL,12,235,247,,
942,0,1469,1,1967,611572,REMOVE CHIMNEY AND CAP & SEAL PER CITY OF NAPA HANDOUT.,FIREPLACE,8/24/14,9/18/14,TRUE,40343,10/27/14,NULL,25,39,64,,
944,0,1469,1,1968,630500,REPAIR EARTHQUAKE DAMAGED CHIMNEY,FIREPLACE,8/24/14,40100,FALSE,2/25/15,3/13/15,NULL,17,184,201,,
945,0,1348,1,1969,63709,REPLACE CHIMNEY / GAS INSERT,FIREPLACE,8/24/14,39947,FALSE,40922,1/15/15,NULL,12,132,144,,
956,0,1655,1,1961,444152,STABILIZE GARAGE POST TO REINFORCE,MINOR BUILDING,8/24/14,40404,FALSE,10/21/14,12/31/14,NULL,45,84,129,,
963,0,1929,1,1965,825000,CHIMNEY REPAIR,FIREPLACE,8/24/14,9/18/14,TRUE,2/27/15,4/15/15,NULL,25,209,234,,
967,1,1733,1,1955,324242,REPAIR CHIMNEY FROM THE SHOULDER UP,FIREPLACE,8/24/14,39947,FALSE,4/27/15,3/24/16,NULL,12,566,578,,
968,0,1253,1,1955,56269,SEAL AND CAP DAMAGED FIRELPLACE REPAIR GAP IN ROOF FRAME.,FIREPLACE,8/24/14,39947,FALSE,40161,9/30/14,NULL,12,25,37,,
980,0,902,1,1898,514410,REPLACE FOUNDATION AND REROOF; REPLACE 10 WINDOWS,WINDOWS DOORS,8/24/14,9/25/14,TRUE,5/14/15,7/24/15,NULL,32,302,334,,
981,0,1016,1,1898,220841,INSTALL 4X4 POST/UNDERDECK/SECURE BLOCK/REPLACE MISSING TILE,RES REROOF,8/24/14,9/25/14,TRUE,1/29/15,7/24/15,NULL,32,302,334,,
982,0,6534,NULL,NULL,547286,POST EARTHQUAKE REPAIR BOUNTY HUNTER),COM REMODEL,8/24/14,39947,FALSE,37057,8/13/15,NULL,12,342,354,,
1012,0,1546,1,1952,557992,SEAL AND CAP DAMAGED CHIMNEY/FIREBOX REMOVE ANTENNA/GY WIRES,FIREPLACE,8/24/14,9/29/14,TRUE,40131,9/16/14,NULL,36,-13,23,,
1029,0,1782,1,1934,676520,CAP FIREPLACE & SEAL; DEMO 2ND AND REBUILD,FIREPLACE,8/24/14,39947,FALSE,40039,12/17/14,NULL,12,103,115,,
1031,0,1380,1,1950,46331,DEMO & REBUILD MASONRY CHIMNEY PER CITY SPECS,FIREPLACE,8/24/14,39947,FALSE,40343,10/31/14,NULL,12,56,68,,
1036,0,1239,1,1941,719000,REBUILD CHIMNEY WOOD FRAME W/ METEL FLUE GROUND UP),FIREPLACE,8/24/14,39947,FALSE,40070,12/31/15,NULL,12,482,494,,
1037,0,2128,1,1976,133440,REBUILD MASONRY CHIMNEY,FIREPLACE,8/24/14,40223,FALSE,41135,12/18/14,NULL,39,77,116,,
1039,0,1227,1,1951,71064,REBUILD DAMAGED CHIMNEY WITH FACTORY FLUE,FIREPLACE,8/24/14,39947,FALSE,40070,10/15/14,NULL,12,40,52,,
1042,0,1639,1,1951,545900,CAP & SEAL FIREPLACE,FIREPLACE,8/24/14,39947,FALSE,9/24/14,11/19/14,NULL,12,75,87,,
1054,0,1879,1,1953,806945,REBUILD MASONARY CHIMNEY,FIREPLACE,8/24/14,9/25/14,TRUE,40373,11/18/14,NULL,32,54,86,,
1055,0,1529,1,1904,169426,REMOVE CHIMNEY INSTALL GAS INSERT, REPLACE W/H VENT,8/24/14,MINOR BUILDING,TRUE,39947,9/25/14,10/15/14,,,32,,
1064,0,1072,1,1977,181859,FOUNDATION & CRIPPLE WALL,FOUNDATION,8/24/14,39947,FALSE,39886,10/15/14,NULL,12,40,52,,
1093,0,2294,1,1898,168423,NULL,NULL,8/24/14,39947,FALSE,38245,4/22/15,NULL,12,229,241,,
1096,0,4247,1,NULL,779810,REPLACE METAL STACK ABOVE ROOF CAP & SEAL INSIDE,FIREPLACE,8/24/14,39947,FALSE,10/14/14,4/14/15,NULL,12,221,233,,
1102,1,3211,1,1928,1381196,COMPLETE DEMO CHIMNEY & FIREPLACE INTERIOR ONE ONLY,FIREPLACE,8/24/14,39947,FALSE,9/26/14,8/24/17,NULL,12,1084,1096,,
1106,0,6969.6,1,NULL,551117,NEW FOUNDATION PER PLANS,FOUNDATION,8/24/14,39947,FALSE,9/30/14,2/24/15,NULL,12,172,184,,
1117,0,12196.8,1,NULL,279548,REMOVE DAMAGED CHIMNEY STUCCO WALL AND REPAIR INTERIOR WALL.,FIREPLACE,8/24/14,9/23/14,TRUE,40830,1/23/15,NULL,30,122,152,,
1126,0,3114,1,1990,707287,REPLACE DAMAGED TILES,MINOR BUILDING,8/24/14,9/16/14,TRUE,11/18/14,11/19/14,NULL,23,64,87,,
1129,0,794,1,1943,52776,DEMO CHIMNEY REPLACE WITH WOOD CHASE & EXISTING GAS INSERT,FIREPLACE,8/24/14,39947,FALSE,10/13/14,10/17/14,NULL,12,42,54,,
1131,0,1257,1,1951,60041,REBUILD MASONRY CHIMNEY,FIREPLACE,8/24/14,39947,FALSE,11/19/14,12/23/14,NULL,12,109,121,,
1133,0,1189,1,1956,245590,MISC ELEC, PANEL UPGRADE,8/24/14, TANKLESS W/H,FALSE,PLUMBING,9/29/14,9/25/14,,,36,,
1136,0,1457,1,1964,550450,RES - REMV EXSTNG BRICK CHASE/TRNSTION TO PIPE WITH WOOD,FIREPLACE,8/24/14,40039,FALSE,10/22/14,1/22/15,NULL,15,136,151,,
1144,0,1422,1,1918,46242,FOUNDATION REPLACEMENT,FOUNDATION,8/24/14,39947,FALSE,39917,1/27/15,NULL,12,144,156,,
1197,0,10454.4,1,NULL,963362,RESET HOUSE ON FOUNDATION DUE TO EARTHQUAKE,MINOR BUILDING,8/24/14,39947,FALSE,10/16/14,1/22/15,NULL,12,139,151,,
1250,0,43560,1,NULL,2919741,981- TOWER & 921-HALL R/R DAMAGED TILE ROOF,COM REROOF,8/24/14,39947,FALSE,9/30/14,11/25/14,NULL,12,81,93,,
1251,0,1410,1,1977,235867,FOUNDATION REPAIRS,FOUNDATION,8/24/14,39947,FALSE,1/14/15,2/24/15,NULL,12,172,184,,
1252,0,849,1,1885,62943,NULL,NULL,8/24/14,39947,FALSE,6/30/16,6/30/16,NULL,12,664,676,,
1254,0,6534,1,NULL,131838,NULL,NULL,8/24/14,39947,FALSE,40435,10/22/14,NULL,12,47,59,,
1263,0,1999,1,1981,361932,REPAIR & SHORTEN CHIMNEY ABOVE ROOFLINE,FIREPLACE,8/24/14,9/29/14,TRUE,9/19/14,12/31/14,NULL,36,93,129,,
