LandValue,ImprovementValue,HOEX,Latitude,Longitude,TimetoApply,RepairTime,TimetoFinal,ConstructionDelay,RepairTime.1,Neighbours
78870.0,117708.0,True,39.745799,-121.643452,288,326.0,614.0,-1.0,-1.0,71
34833.0,109124.0,True,39.74417,-121.592934,291,211.0,502.0,-1.0,-1.0,122
42304.0,118855.0,True,39.762137,-121.608349,291,298.0,589.0,-1.0,-1.0,60
173278.0,451140.0,True,39.758504,-121.646438,292,346.0,638.0,-1.0,-1.0,24
30916.0,153000.0,False,39.743185,-121.640641,292,463.0,755.0,-1.0,-1.0,104
86671.0,351791.0,True,39.749203,-121.616158,292,435.0,727.0,-1.0,-1.0,38
33122.0,14458.0,False,39.790263,-121.586105,292,226.0,518.0,-1.0,-1.0,75
11074.0,78830.0,True,39.767824,-121.628069,293,475.0,768.0,-1.0,-1.0,139
43743.0,91887.0,True,39.744083,-121.630929,294,333.0,627.0,-1.0,-1.0,111
58309.0,137172.0,True,39.733021,-121.633764,294,225.0,519.0,-1.0,-1.0,59
102000.0,119340.0,False,39.767079,-121.628458,294,449.0,743.0,-1.0,-1.0,145
31888.0,123429.0,True,39.750759,-121.601466,294,195.0,489.0,-1.0,-1.0,88
101924.0,274637.0,True,39.760497,-121.584908,295,717.0,1012.0,-1.0,-1.0,119
87597.0,191473.0,True,39.757234,-121.576548,295,291.0,586.0,-1.0,-1.0,74
99013.0,85582.0,True,39.755488,-121.617526,299,245.0,544.0,-1.0,-1.0,46
56043.0,69500.0,True,39.743585,-121.583982,299,1045.0,1344.0,-1.0,-1.0,80
50680.0,239062.0,True,39.76838,-121.632189,299,545.0,844.0,-1.0,-1.0,123
14582.0,104789.0,True,39.778292,-121.60228,300,274.0,574.0,-1.0,-1.0,114
56402.0,81527.0,True,39.761787,-121.594852,300,253.0,553.0,-1.0,-1.0,130
85140.0,18244.0,False,39.779137,-121.600095,300,232.0,532.0,-1.0,-1.0,117
88702.0,405489.0,False,39.760603,-121.592978,300,611.0,911.0,-1.0,-1.0,136
91940.0,39404.0,True,39.774638,-121.617426,300,239.0,539.0,-1.0,-1.0,112
119931.0,47974.0,True,39.780548,-121.593975,300,260.0,560.0,-1.0,-1.0,105
52651.0,125834.0,True,39.779375,-121.617463,301,175.0,476.0,-1.0,-1.0,75
49685.0,145568.0,True,39.778824,-121.582356,301,319.0,620.0,-1.0,-1.0,116
90428.0,156233.0,False,39.769674,-121.585765,301,393.0,694.0,-1.0,-1.0,138
115997.0,242935.0,False,39.762806,-121.601082,301,445.0,746.0,-1.0,-1.0,104
30916.0,207060.0,True,39.754488,-121.593247,301,369.0,670.0,-1.0,-1.0,150
12685.0,63826.0,True,39.769015,-121.623844,301,428.0,729.0,-1.0,-1.0,131
84936.0,259348.0,False,39.786553,-121.572381,301,-1.0,-1.0,-1.0,-1.0,66
73612.0,146370.0,True,39.73584,-121.642142,301,351.0,652.0,-1.0,-1.0,89
69620.0,151415.0,False,39.753195,-121.615657,301,1092.0,1393.0,-1.0,-1.0,38
82022.0,153909.0,True,39.746112,-121.624079,302,354.0,656.0,-1.0,-1.0,77
97305.0,219151.0,False,39.771183,-121.630753,302,355.0,657.0,-1.0,-1.0,109
33464.0,126059.0,False,39.744044,-121.630561,302,742.0,1044.0,-1.0,-1.0,117
35552.0,150631.0,True,39.767074,-121.58329,305,386.0,691.0,-1.0,-1.0,126
83471.0,65588.0,True,39.781201,-121.576885,305,778.0,1083.0,-1.0,-1.0,100
22980.0,148387.0,True,39.743752,-121.633849,306,391.0,697.0,-1.0,-1.0,104
100475.0,135851.0,True,39.772781,-121.602521,306,422.0,728.0,-1.0,-1.0,118
13847.0,105638.0,False,39.761598,-121.631511,306,589.0,895.0,-1.0,-1.0,120
107219.0,161524.0,False,39.761598,-121.631511,306,267.0,573.0,-1.0,-1.0,120
103138.0,45689.0,False,39.752797,-121.592076,306,533.0,839.0,-1.0,-1.0,154
135071.0,255000.0,True,39.731106,-121.567845,306,423.0,729.0,-1.0,-1.0,37
45124.0,102357.0,True,39.760626,-121.625851,307,230.0,537.0,-1.0,-1.0,83
55556.0,19599.0,False,39.749332,-121.598714,307,833.0,1140.0,-1.0,-1.0,130
52214.0,95500.0,False,39.750448,-121.599692,307,867.0,1174.0,-1.0,-1.0,116
109363.0,315903.0,True,39.776973,-121.615057,307,450.0,757.0,-1.0,-1.0,98
76807.0,252113.0,True,39.777518,-121.626005,307,441.0,748.0,-1.0,-1.0,67
19474.0,40385.0,True,39.766534,-121.63309,308,265.0,573.0,-1.0,-1.0,124
49000.0,109809.0,True,39.792514,-121.578327,308,410.0,718.0,-1.0,-1.0,93
25248.0,153000.0,True,39.779726,-121.58518,309,87.0,396.0,-1.0,-1.0,103
63529.0,167332.0,False,39.768053,-121.616697,309,329.0,638.0,-1.0,-1.0,103
